Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1998,349,149,42.7,---,---,---,---
2,Denmark,03 1998,179,67,37.4,---,---,---,---
3,Finland,03 1999,200,74,37.0,---,---,---,---
4,Norway,09 1997,165,60,36.4,---,---,---,---
5,Netherlands,05 1998,150,54,36.0,05 1995,75,17,22.7
6,Iceland,05 1999,63,22,34.9,---,---,---,---
7,Germany,09 1998,669,207,30.9,1999*,69,13,18.8
8,South Africa,06 1999,400,120,30.0,06 1999,54,17,31.5
9,New Zealand,10 1996,120,35,29.2,---,---,---,---
10,Argentina,10 1997,257,71,27.6,12 1995,72,4,5.6
"""",Cuba,01 1998,601,166,27.6,---,---,---,---
11,Austria,12 1995,183,48,26.2,11 1994,64,13,20.3
12,Viet Nam,07 1997,450,117,26.0,---,---,---,---
13,Mozambique,10 1994,250,63,25.2,---,---,---,---
14,Seychelles,03 1998,34,8,23.5,---,---,---,---
15,Belgium,06 1999,150,35,23.3,06 1999,71,20,28.2
16,Australia,10 1998,147,33,22.4,10 1998,76,22,28.9
17,Monaco,02 1998,18,4,22.2,---,---,---,---
"""",Namibia,12 1994,72,16,22.2,11 1992,26,1,3.8
18,China,1997-98,2979,650,21.8,---,---,---,---
19,Spain,03 1996,348,75,21.6,03 1996,257,34,13.2
20,Lao People's Democratic Rep.,12 1997,99,21,21.2,---,---,---,---
21,Switzerland,10 1995,200,42,21.0,10 1995,46,8,17.4
22,Canada,06 1997,301,62,20.6,1999,105,32,30.5
23,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
24,Costa Rica,02 1998,57,11,19.3,---,---,---,---
25,Guyana,12 1997,65,12,18.5,---,---,---,---
26,United Kingdom,05 1997,659,121,18.4,1999*,1165,103,8.8
27,Turkmenistan,12 1994,50,9,18.0,---,---,---,---
28,Uganda,06 1996,279,50,17.9,---,---,---,---
29,Lithuania,10 1996,137,24,17.5,---,---,---,---
30,Ecuador,05 1998,121,21,17.4,---,---,---,---
"""",Mexico,07 1997,500,87,17.4,07 1997,128,19,14.8
31,Rwanda,11 1994,70,12,17.1,---,---,---,---
32,Latvia,10 1998,100,17,17.0,---,---,---,---
33,El Salvador,03 1997,84,14,16.7,---,---,---,---
"""",Luxembourg,06 1999,60,10,16.7,---,---,---,---
34,United Rep. of Tanzania,10 1995,275,45,16.4,---,---,---,---
35,Dominican Republic,05 1998,149,24,16.1,05 1998,30,2,6.7
36,Suriname,05 1996,51,8,15.7,---,---,---,---
37,Angola,09 1992,220,34,15.5,---,---,---,---
38,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,06 1998,200,30,15.0,11 1998,81,9,11.1
39,Eritrea,02 1994,150,22,14.7,---,---,---,---
40,Zimbabwe,04 1995,150,21,14.0,---,---,---,---
41,Jamaica,12 1997,60,8,13.3,12 1997,21,5,23.8
"""",Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
"""",San Marino,05 1998,60,8,13.3,---,---,---,---
"""",United States of America,11 1998,435,58,13.3,11 1998,100,9,9.0
42,Poland,09 1997,460,60,13.0,09 1997,100,11,11.0
"""",Portugal,10 1995,230,30,13.0,---,---,---,---
43,Slovakia,09 1998,150,19,12.7,---,---,---,---
44,Guatemala,11 1995,80,10,12.5,---,---,---,---
45,Philippines,05 1998,217,27,12.4,05 1998,23,4,17.4
46,Mali,07 1997,147,18,12.2,---,---,---,---
47,Senegal,05 1998,140,17,12.1,01 1999,60,11,18.3
"""",Venezuela,11 1998,206,25,12.1,11 1998,57,5,8.8
48,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
